from,transfer_count,total_amount_usd,average_amount_usd
0xb399f02dbc265ff508162e3627da3781d6f65b0d,6,786.744929,131.124155
0xedc979dd13ba63ffd181597f1bdf35191840fd2f,5,230034.925,46006.985
0xc60416fc7f4625b4684559abd149f0faaad46309,5,9917.104158,1983.420832
0x5910600ec21bd48a3aa61cd1a417a61fd01a748e,5,71638.290848,14327.65817
0xed21672a9f7fb7ceb0b4fe38a09b02cd4da19a50,5,7425.723335,1485.144667
0x4fd921c1c100362d0c71de258ac5ed2b1161e067,5,91.940708,18.388142
0x528e1602250d8d6926dfbfab863c396e2ad3806e,5,1281.538916,256.307783
0xe170ed9d77792397271d564c7161351d69fe9300,5,298477.801885,59695.560377
0x652095895924ae33bcd325421f5cf63b62ecb7cd,5,512.064082,102.412816
0x2951bc4c8bfc38323df230fdf2fa490141816bd6,5,17371.978313,3474.395663
0xc92e179688736155ff36e03320899dffbbc571c5,5,116.113599,23.22272
0x2d8fedb175fd645595ffd95d3432b0a1e93f82b1,5,13040.069433,2608.013887
0x042b47e723ada236c1d405dc3ba962ef2d6eabee,5,1746.249453,349.249891
0x0ae49368ef778bf551ae0d908e52ab72066a6ce2,5,461830.936792,92366.187358
0x9dc2c1b30cf749932d4f1fbe326241e0cd497882,5,659964.498519,131992.899704
0x0d5757b1f261d73504897273e3e48ed09bfd27bd,5,476672.525393,95334.505079
0xddfdb3ddcf5fea5b2be641c6cc13bd0f44150547,5,598.592367,119.718473
0xefee30478be44b43b60389efaa15d189b6d91b28,5,604.286697,120.857339
0xf0197b599f3a26e03fc091c8a2ee8faf079d0185,5,110863.380177,22172.676035
0x9c5b7246c022cf83ff83e4bc6a8347d167ad376f,5,255274.16,51054.832
0x2a379b47aa663dc343a81c548ccf4345fcb35bd6,5,58507.11915,11701.42383
0x0cd4db43f945d3512188d35ff8903422a466e783,5,51683.483614,10336.696723
0x3e99bc79059f199a7c2b70ddb23daca9e1b17977,5,40177.393123,8035.478625
0x2d1090069cc00f1f19bbbc9886ce104fc3771ca2,5,844.3575,168.8715
0xd25f90c20084f3f033457262aa8439371ba54cdd,5,76.753136,15.350627
0xda7a6892fd05e9735bedcac5b2642b897873b3e7,5,35212.385,7042.477
0x6320106d44439b91a91fec01917ec348a1e3c6a7,5,224.731072,44.946214
0xdba59b22488d9e78fc185a3a499d68d56a7fadd2,5,71225.7801,14245.15602
0xa790b771f7cc09a4ecf88e351f333f051d2a0fa0,5,1094.48796,218.897592
0xe6b36ba8ba7adcf4c2b4d971a50b12f5a2ff8e89,5,14988.9985,2997.7997
0x4a16daa5924f452fe9ebc0ba25ae59d5e63e1f02,5,317.975551,63.59511
0x05d0cae6dc7aefae13be2ad37fda8aac1397ea31,5,609.212198,121.84244
0xb9d77cac988abd18694a3393f6860aab0813cb61,5,24987.016595,4997.403319
0x15476b84195887b444e611cda1418cee136e289c,5,238136.935187,47627.387037
0xb76867a411d61568c0d5852403ac1380712dece1,5,264.700592,52.940118
0x3ffaed76f455ec7e50ea045ab4ef171b70e7eb17,5,31664.995405,6332.999081
0x11227b438219d00e574ccab5203765902bcd58b0,5,556.7215,111.3443
0xbca5eca67ae4e7386282854871689885acc36cb2,5,109.251147,21.850229
0x09ee4b2f327648b48fad52d779a543f7a282603e,5,30184.841593,6036.968319
0x647ea43a7376388b775992fd58aaba939ff342ca,5,83760.847428,16752.169486
0xdf9b959e6cb1ac46ba6b285ab4945a061f2d3d05,5,10159.995,2031.999
0x5d7eb8be5ff35affb27588437879828c381b8578,5,134.991095,26.998219
0xd37472576fd208050da578534afd04d443ee5a96,5,286556.278331,57311.255666
0xeb696cf7c82079e9023c91016948f50eed7ea872,5,1619.967538,323.993508
0x2821473da21a1a76b8874407e0dba1a5ac9d7540,5,1922.932304,384.586461
0x44eb044aa553e45c17d029983727abc8b633cb9a,5,3460500.416797,692100.083359
0xb6b592b89229dac153ee9c0ffaee22ac7f3b1393,5,40615.461602,8123.09232
0x3eb6e8f959bc1525987b3b913dde7d70b2f34114,5,149.621355,29.924271
0x4e4de57ddc70ecb04423c716fe3cc209b6afce98,5,15269.981854,3053.996371
0x9a48fcc17616556477450ba3e9c844b231d369e6,5,2152.394209,430.478842
0x0c9cbdfa7b2c67177be7366dc9a9a53ef1761f62,5,264970.03629,52994.007258
0x7a810e8a2939c8d6f6a0351222e503ecf2647d6a,5,61701.248598,12340.24972
0x80c9e60feba51b2a4b131bd1524b4928b5c16774,5,9995.246,1999.0492
0x80a2bee459c1270d02cccca9c12a05a1261c475c,5,294.635208,58.927042
0x8ae3fda779c3dc7c8652c8f18a0ace72e0957e1c,5,2547.632179,509.526436
0x398b581e91abb26d1feb5f9acf674a1090706e39,5,12106.221934,2421.244387
0x3b1d6194e78394c3d4ad47d540fe8ba53266c948,5,284.512078,56.902416
0xf7d4d9660469c93e38221b4e4b381163b1cf4406,5,694700.032977,138940.006595
0xf805ad2b37645142cea869afc326247f15fd9061,5,209.895,41.979
0x37e6e20c09f9a25290d70143d96aeb6e0087d24a,5,665.054355,133.010871
0x380a65a95b87229ef2d063200e9a0871df7d39e1,5,530325.917481,106065.183496
0x91364d311a5b30f6f0076f1603dd26e3a091e5b1,5,100.514268,20.102854
0x85af56fbbb5856bab04c2d01c9d629085d442cf5,5,206.134121,41.226824
0x1fae0ff8b125a792dc6444cf6d5d35b7ed4bd1b1,5,64747.966991,12949.593398
0xf7f7de4913c04f84c8dcf9d324eb780965077898,5,18374.095778,3674.819156
0xfe23c3725077ed4ae6604b54dc3825537d152c6f,5,239317.652826,47863.530565
0x7fb343426af8b9141db49d15477dc0e3983d0b70,5,146255.798551,29251.15971
0xf3b28f6c9d6e758cdff225ed0f246923944312be,5,250960.416047,50192.083209
0x7b8e047dfa4b27314c6a7ea5067e356f38666089,5,103451.682669,20690.336534
0x8577258f253c4b0cb7c3aa914fb448a8892966e6,5,8754.478571,1750.895714
0x320568fa8e98de82c3fa67731c4664dcb39569e5,5,7997.900383,1599.580077
0x8802b353fab4ae1a56b2c633d5a2b3e57930d131,5,223481.939959,44696.387992
0x00df1cf217fcdcd6076e7f1e683eb14eccbd3df8,5,617.054891,123.410978
0x98ed52ae6eb907d5f62e4a9eb85f27cf5171fd4b,5,291872.061212,58374.412242
0x0fdf6d2fed79b506e66828e6a54a8087fe884e12,4,3946.801662,986.700416
0xbf7961b32c4a34431eb714665f447a1a9ea898d8,4,10.9955,2.748875
0x1509463cc3a490219000416010516a9e3a553e3c,4,30319.889559,7579.97239
0x34d7fce793cb736381439b64051af01e86cbfbc9,4,1315418.598787,328854.649697
0x451d7fc8994b74d3d2a81750ad1a082520b4df0e,4,382.891147,95.722787
0x0f8be2c84222fecfae08f3244c8d2717ba16ac9d,4,1499.176037,374.794009
0xd3ef25cdf32e9ae9272f855248229cd9d05efee4,4,50140.125467,12535.031367
0xf70e8a9fc7809568714e951c3a83d32ab789a69b,4,2384.562867,596.140717
0x24f002a7bf85621c67987c1a094fe2c6e268c449,4,121.329541,30.332385
0x6b2d22a5eae35b21a78181c95011324b1239f954,4,778.517668,194.629417
0xe288cd126dc97c2ce16c97f6b4f79183181772de,4,625.933827,156.483457
0x2e11d3f4fa7dab20b99f18ef3809e2603c9cad13,4,20041.789845,5010.447461
0x8b9cc672249139f73ecccf791e17d7889e488b1b,4,9050.555292,2262.638823
0xbf05a898ee6f77dc706b54229efcb86c0a392be3,4,2915927.456386,728981.864096
0x6a6930b3164a66cc2e3c81a4fe73b4d8964faba4,4,106.495,26.62375
0x8c18a9678db391a7b7471e4132af515e0fedd2be,4,94.9525,23.738125
0xaed8f68e6c3c4ed11824c4a2e8f8b3b46d5126e4,4,243160.500539,60790.125135
0x44652b563fdaecc0c31d971a4a45e7b2458554e1,4,99.572306,24.893076
